Animal;ScientificClassification;Species;Genus;Family;HowToxic;ExtraInformation;Reference;Dutch name
Alpaca;Species;Adonis Aestivalis ;;;2; gehele plant is giftig;Alpaca Association Benelux;zomeradonis 
Alpaca;Species;Aethusa Cynapium;;;3; gehele plant zeer giftig;Alpaca Association Benelux;Hondspeterselie
Alpaca;Species;Agrostemma githago;;;2; alleen het zaad is giftig;Alpaca Association Benelux;Bolderik
Alpaca;Species;Asclepias syriaca;;;3; zeer giftig;Alpaca Association Benelux;Zijdeplant (Asclepias) 
Alpaca;Species;Buxus Sempervirens;;;2; loof, zaden en bast bevatten giftige stoffen;Alpaca Association Benelux;Buxus
Alpaca;Species;Chelidonium Majus ;;;2; gehele plant is giftig;Alpaca Association Benelux;Stinkende Gouwe 
Alpaca;Species;Cicuta Virosa ;;;3; gehele plant zeer giftig, slootkanten en drassige gebieden;Alpaca Association Benelux;Waterscheerling 
Alpaca;Species;Colchium Autumnale;;;2; giftig;Alpaca Association Benelux;Herfststijloos
Alpaca;Species;Conium Maculatum;;;3; gehele plant zeer giftig;Alpaca Association Benelux;Gevlekte scheerling
Alpaca;Species;Convallaria majalis;;;2;" zowel stengels, als bloemen en bessen zijn giftig; ook het water waarin eventueel een boeketje heeft gestaan";Alpaca Association Benelux;Lelietjes-der-dalen 
Alpaca;Species;Datura Stramonium;;;3; gehele plant zeer giftig;Alpaca Association Benelux;Doornappel
Alpaca;Species;Digitalis Purpurea ;;;3; zeer giftig;Alpaca Association Benelux;Vingerhoedskruid 
Alpaca;Species;Equisetum arvense;;;2; gehele plant is giftig, vochtige plaatsen in weiden en bermen;Alpaca Association Benelux;Heermoes (of Paardenstaart) 
Alpaca;Species;Equisetum Palustre ;;;2; gehele plant is giftig, in vochtig weiland;Alpaca Association Benelux;Lidrus 
Alpaca;Species;Euphorbia Cyparissias ;;;2; helioscopia, -peplus.  melksap is giftig;Alpaca Association Benelux;Wolfsmelk 
Alpaca;Species;Evonymus Europaeus ;;;2; zaad is giftig;Alpaca Association Benelux;Kardinaalsmuts, wilde 
Alpaca;Species;Hedera Helix ;;;2; het blad en de bessen zijn giftig;Alpaca Association Benelux;Klimop 
Alpaca;Species;Heracleum mantegazzianum;;;3; bevat zeer giftige sappen, die huidirritaties en brandblaren veroorzaken, vooral op vochtige, voedselrijke grond;Alpaca Association Benelux;Reuzenberenklauw (Schermbloemenfamilie) 
Alpaca;Species;Heracleum sphondylium;;;3; bevat zeer giftige sappen, die huidirritaties veroorzaken;Alpaca Association Benelux;Berenklauw
Alpaca;Species;Hyoscyamus niger;;;3; zeer giftig;Alpaca Association Benelux;Bilzekruid
Alpaca;Species;Juniperus Sabina;;;2; takken en blad giftig;Alpaca Association Benelux;Jeneverbes
Alpaca;Species;Kalmia Latifolia ;;;2; giftig;Alpaca Association Benelux;Lepelboom 
Alpaca;Species;Laburnum anagyroides;;;2; vooral het zaad en boomschors zijn giftig;Alpaca Association Benelux;Gouden regen
Alpaca;Species;Ledum Glandulosum ;;;2; gehele plant is giftig;Alpaca Association Benelux;Moerasrozemarijn 
Alpaca;Species;Lonicera Nigra ;;;2; vruchten zijn giftig;Alpaca Association Benelux;Kamperfoelie 
Alpaca;Species;Mercurialis Annua ;;;2; gehele plant waarschijnlijk giftig;Alpaca Association Benelux;Tuinbingelkruid 
Alpaca;Species;Nicotiana tabacum;;;3; zeer giftig;Alpaca Association Benelux;Tabak (Nicotiana) 
Alpaca;Species;Oleander Nerium ;;;3; de gehele plant is zeer giftig;Alpaca Association Benelux;Oleander Nerium 
Alpaca;Species;Pinus Ponderosa ;;;2; deze coniferensoort kan spontaan abortus geven;Alpaca Association Benelux;Pinus Ponderosa 
Alpaca;Species;Prunus Serotina;;;2; giftig;Alpaca Association Benelux;Amerikaanse Vogelkers
Alpaca;Species;Pteridium aquilinum;;;2; gehele plant en m.n. de wortelstok is giftig, droge-zure-voedselarme grond;Alpaca Association Benelux;Adelaarsvaren 
Alpaca;Species;Ranunculus Acris;;;2; gehele plant is giftig;Alpaca Association Benelux;Boterbloem, gewone
Alpaca;Species;Ranunculus Bulbosus ;;;2; gehele plant is giftig, in droog weiland;Alpaca Association Benelux;Knolboterbloem 
Alpaca;Species;Ranunculus Repens;;;2; gehele plant is giftig, in vochtig weiland;Alpaca Association Benelux;Boterbloem, kruipende
Alpaca;Species;Rhamnus Catharticus ;;;2; zwarte bessen zijn giftig;Alpaca Association Benelux;Wegedoorn 
Alpaca;Species;Rheum rhabarbarum;;;1; de stengels zijn eetbaar, maar de bladeren zijn bij inname in grote hoeveelheden giftig (oxaalzuur);Alpaca Association Benelux;Rabarber 
Alpaca;Species;Ricinus Communis ;;;3; zeer giftig;Alpaca Association Benelux;Wonderboom 
Alpaca;Species;Robinia Pseudoacacia ;;;3; zeer giftig;Alpaca Association Benelux;Valse Acacia 
Alpaca;Species;Saponaria Officinalis ;;;2; bloesem is giftig, groeit op zandgrond;Alpaca Association Benelux;Zeepkruid 
Alpaca;Species;Senecio Jacobaea;;;2; giftig voor mens en dier;Alpaca Association Benelux;Jacobskruiskruid
Alpaca;Species;Solanum dulcamara;;;2; zaden en onrijpe bessen zijn giftig, vaak als klimplant in hagen en struiken;Alpaca Association Benelux;Bitterzoet (Nachtschade-achtige) 
Alpaca;Species;Trifolium hybridum;;;2; in zijn geheel giftig, op zure weilanden;Alpaca Association Benelux;Bastaardklaver
Alpaca;Species;Trollius Europaeus ;;;2; giftig;Alpaca Association Benelux;Kogelbloem 
Alpaca;Species;Veratrum Album ;;;2; gehele plant is giftig, in nat weiland;Alpaca Association Benelux;Veratrum Album 
Alpaca;Genus;;Anagallis;;2; gehele plant, zowel rode als blauwe waarschijnlijk giftig;Alpaca Association Benelux;Guichelheil
Alpaca;Genus;;Arctium;;1; niet giftig, maar maakt de wol onbruikbaar voor verwerking!;Alpaca Association Benelux;Klis (Klit) 
Alpaca;Genus;;Clematis ;;3; gehele plant zeer giftig;Alpaca Association Benelux;Clematis 
Alpaca;Genus;;Hydrangea;;3; bevat cyanide, giftig voor mens en dier;Alpaca Association Benelux;Hortensia 
Alpaca;Genus;;Iris;;2; giftig;Alpaca Association Benelux;Iris 
Alpaca;Genus;;Quercus;;1; blad en vrucht geven maag- en darmstoornissen, niet dodelijk;Alpaca Association Benelux;Eik 
Alpaca;Genus;;Rhododendron;;3; zeer giftig;Alpaca Association Benelux;Azalia
Alpaca;Genus;;Solanum;;2; giftig;Alpaca Association Benelux;Nachtschade (Solanum) 
Alpaca;Genus;;Taxus ;;2; takken en blad zeer giftig;Alpaca Association Benelux;Taxus 
Alpaca;Genus;;Thuja ;;3; zeer giftig;Alpaca Association Benelux;Thuja 
Alpaca;Genus;;Zigadenus;;3; zeer giftig;Alpaca Association Benelux;Lelie 
Alpaca;;;;;0;;Alpaca Association Benelux;Bloeiende bloembollen, zoals hyacint, narcis, sneeuwklokje etc
